detector,chunk_id,static_acc,adaptive_acc,static_macro_f1,adaptive_macro_f1
DDM,16,0.084,0.822,0.06666666666666667,0.6268465377893352
DDM,17,0.074,0.82,0.06292517006802721,0.6567146505103217
DDM,18,0.06,0.806,0.056179775280898875,0.6644587553836637
DDM,19,0.088,0.82,0.06489675516224189,0.8142953508967962
DDM,20,0.08,0.812,0.057971014492753624,0.6738936601850614
DDM,21,0.114,0.838,0.0683453237410072,0.6421647708373601
DDM,22,0.09,0.806,0.0625,0.6540081118330153
DDM,23,0.084,0.85,0.06542056074766354,0.5629924707223333
DDM,24,0.098,0.836,0.0692090395480226,0.6694240910752539
DDM,25,0.084,0.804,0.06422018348623854,0.6755890265152176
DDM,26,0.094,0.806,0.058786741713570984,0.6034723254751959
DDM,27,0.096,0.82,0.0605296343001261,0.6136135073208911
DDM,28,0.066,0.828,0.06395348837209303,0.739372282032531
DDM,29,0.068,0.774,0.04934687953555878,0.5899909317624378
DDM,30,0.084,0.842,0.06542056074766354,0.6786058406167101
DDM,31,0.08,0.8,0.0706090026478376,0.6416337365454221
DDM,32,0.104,0.828,0.06451612903225806,0.5540797819288769
DDM,33,0.096,0.86,0.07655502392344497,0.8299324337641244
DDM,34,0.68,0.666,0.0923662048356425,0.0921544209215442
DDM,35,0.654,0.62,0.08993399339933994,0.08831908831908832
DDM,36,0.698,0.672,0.1053743961352657,0.10421836228287841
DDM,37,0.708,0.68,0.14114832535885166,0.13974517057131114
DDM,38,0.702,0.666,0.10483870967741936,0.10354477611940298
DDM,39,0.66,0.632,0.0905349794238683,0.0892277283636877
DDM,40,0.684,0.656,0.10351089588377724,0.10237203495630462
DDM,41,0.706,0.67,0.10606971153846154,0.10390818858560794
DDM,42,0.68,0.656,0.11861154718297576,0.11773151471643935
DDM,43,0.678,0.82,0.11869747899159665,0.274086747923024
DDM,44,0.65,0.826,0.11650833482702994,0.3063342871482671
DDM,45,0.694,0.844,0.10540704738760631,0.27121245396152516
DDM,46,0.656,0.806,0.0911111111111111,0.2839984264869293
DDM,47,0.664,0.816,0.1166754524688104,0.29010898739814406
DDM,48,0.668,0.798,0.10195360195360195,0.2330673824509441
DDM,49,0.658,0.818,0.10129310344827586,0.26393872030841936
DDM,50,0.688,0.85,0.09232420826623726,0.24437498555027382
DDM,51,0.712,0.852,0.12181351582549187,0.30788167312374465
DDM,52,0.66,0.824,0.11554621848739496,0.30011602978702184
DDM,53,0.68,0.814,0.10303030303030303,0.2516743016766757
DDM,54,0.69,0.812,0.11890401516457005,0.27047928262213977
DDM,55,0.678,0.81,0.10247883917775091,0.2430612545504282
DDM,56,0.678,0.824,0.1174025974025974,0.29756749059698123
DDM,57,0.642,0.818,0.10056390977443609,0.267975438278926
DDM,58,0.658,0.83,0.10141800246609124,0.31850386947797094
DDM,59,0.7028112449799196,0.8835341365461847,0.14090177133655393,0.39766615143815115
EDDM,0,0.9,0.9,0.8286465898829904,0.8286465898829904
EDDM,1,0.896,0.896,0.901908129681819,0.901908129681819
EDDM,2,0.904,0.904,0.8056095800123414,0.8056095800123414
EDDM,3,0.884,0.884,0.910111617462519,0.910111617462519
EDDM,4,0.886,0.888,0.890472793629728,0.9096220993094892
EDDM,5,0.882,0.886,0.8088458707724763,0.8923865041512099
EDDM,6,0.908,0.916,0.9087180233969225,0.9194097068522592
EDDM,7,0.8865030674846626,0.911042944785276,0.9021745377909762,0.9225424352100954
EDDM,8,0.106,0.106,0.07085561497326204,0.07085561497326204
EDDM,9,0.108,0.106,0.06818181818181819,0.06794871794871794
EDDM,10,0.09,0.09,0.06302521008403361,0.0625
EDDM,11,0.098,0.098,0.06481481481481481,0.06380208333333333
EDDM,12,0.086,0.81,0.06342182890855456,0.6618531662283371
EDDM,13,0.08,0.8,0.056980056980056974,0.6114687901358455
EDDM,14,0.086,0.818,0.05752508361204013,0.6224683239253311
EDDM,15,0.082,0.832,0.06327160493827161,0.7055029717508933
EDDM,16,0.084,0.79,0.06666666666666667,0.6295630933263383
EDDM,17,0.074,0.812,0.06292517006802721,0.6943062940358805
EDDM,18,0.06,0.808,0.056179775280898875,0.6608375153044546
EDDM,19,0.088,0.844,0.06489675516224189,0.8229120146758092
EDDM,20,0.08,0.79,0.057971014492753624,0.6294914965864261
EDDM,21,0.114,0.832,0.0683453237410072,0.630941764688786
EDDM,22,0.09,0.808,0.0625,0.6555220318794482
EDDM,23,0.084,0.826,0.06542056074766354,0.5670756529940358
EDDM,24,0.098,0.84,0.0692090395480226,0.6556737614540674
EDDM,25,0.084,0.818,0.06422018348623854,0.6957233227842322
EDDM,26,0.094,0.816,0.058786741713570984,0.6555461547072459
EDDM,27,0.096,0.818,0.0605296343001261,0.642513254619798
